date,average0,average1,average2,average3,average4,average5,average6,average7,average8,average9,average10,매매가격지수증감률,전세거래활발지수,전세가격변동률
2022-06-06,-0.009038980047385722,-0.021633988119623776,-0.013296503249390324,-0.007922497010513918,-0.001780448547012556,-0.012770548641649468,-0.007766958055015203,-0.003165762691240481,-0.008063073300930654,-0.005951337211785768,-0.00446878513095837,0.029459468,12.98675043,0.037527552
2022-06-13,-0.006920891945965619,-0.028940240664093234,-0.014480219892713033,-0.008773016527958335,-0.0033160565948008418,-0.012157029074964737,-0.0074628893373607195,-0.0037510541441862,-0.009631059651693832,-0.009583428572503444,-0.00481472103823764,0.016177733,11.31059503,0.020973478
2022-06-20,-0.007184966985232859,-0.026396965201098015,-0.008836746190770918,-0.011806256494619789,-0.0031477782458595844,-0.010919081071995426,-0.0060884120593801905,-0.0036561262802081015,-0.008567162765257638,-0.01046357027002349,-0.004529757844702211,0.022151502,11.84795185,0.04701043
2022-06-27,-0.011441470840801635,-0.022735934323285224,-0.009322533447657558,-0.007699562808846468,0.0008874561642489878,-0.015057110676370196,-0.008379650276995493,-0.002464450932012077,-0.011056259536697678,-0.007310776198569782,-0.006530839289989079,0.003530825,9.598537445,0.021811868
2022-07-04,-0.009159537650469129,-0.020264385806166064,-0.010205662842535303,-0.005914169874919914,-0.0014812804416632788,-0.014519590192895327,-0.00768980736350983,-0.0033760492185952256,-0.011702276323380698,-0.004933729190907042,-0.004613232012319441,0.004874059,8.214594678,-0.001196167
2022-07-11,-0.008060397478356589,-0.02151582279266812,-0.012473949341491458,-0.009639449601705376,-0.0046405125547996145,-0.011791649877785563,-0.007957270389010423,-0.0026060470890194574,-0.008850366572493813,-0.008332627240475286,-0.004826703749813106,0.004081555,7.131327619,-0.005326012
2022-07-18,-0.00792191777078727,-0.024927090616822127,-0.013920328062822875,-0.009920179042305308,-0.005342415976357756,-0.01700853795581465,-0.007677070147327523,-0.004498174379089508,-0.008580800223592044,-0.0054473381445231854,-0.005506095613273648,-0.019617891,6.801723908,-0.01408281
2022-07-25,-0.008715303689401323,-0.022821579602238216,-0.010894599086737686,-0.008261070791507459,-0.003290341665146435,-0.01255416869638192,-0.00683247460821425,-0.002607960912146139,-0.007031575739787386,-0.006766707403289781,-0.005183785528315824,-0.03440673,7.553364295,-0.023045784
2022-08-01,-0.006218123644336615,-0.022105573376813185,-0.01089375295249811,-0.005940770544059068,-0.005222226385077005,-0.009852861986344707,-0.007160733538706368,-0.0036232953943169553,-0.010766038165114154,-0.006015939848536821,-0.0046036262922968954,-0.012248348,4.742854772,-0.013851002
2022-08-08,-0.008195695572182813,-0.02379045470534739,-0.010441027370575248,-0.012117107271342027,-0.003277927082258234,-0.00886734977034509,-0.0097972005234945,-0.0030598241811512147,-0.00594367245009299,-0.005561143017961435,-0.005213241034042343,-0.035099799,5.773648927,-0.048185401
2022-08-15,-0.006615433817956138,-0.020282266173023752,-0.009445254420211616,-0.012190892227632663,-0.005725948505654868,-0.010600590956282786,-0.010196455931061835,-0.0023921968850918384,-0.008600681665567333,-0.005048536681994711,-0.005628617519642662,-0.044054972,6.407093728,-0.041549124
2022-08-22,-0.006775979584992653,-0.020358104182896616,-0.01006756390154274,-0.006935237980499327,0.0014083826093670786,-0.00961644318057015,-0.005453171677496678,-0.002594407906360402,-0.010630343809231176,-0.00445963956615804,-0.004147011570270687,-0.038267607,6.558054402,-0.042075188
2022-08-29,-0.006056169418947805,-0.019786600593388923,-0.011996137507524622,-0.010438418085533259,-0.0037769234717787243,-0.012436815588776193,-0.00583394018612235,-0.0031937888315207645,-0.01223981024357816,-0.007632226099626248,-0.006561266031192553,-0.070704483,5.787893467,-0.080301295
2022-09-05,-0.005305843245139992,-0.023049506229757013,-0.016583964474885193,-0.00905581890353247,-0.004559222325190701,-0.016912357551718733,-0.007291286985917016,-0.003602631353699778,-0.009895688063573722,-0.005370193448224511,-0.005555724541558958,-0.084849507,6.225622014,-0.068532684
2022-09-19,-0.008117139929017478,-0.022281682633891804,-0.009621089925895837,-0.011597510977822311,-0.00364581345121851,-0.013163192172695468,-0.008164183847477849,-0.003660890128092049,-0.007315121962238018,-0.0041112403064056105,-0.008438473870191981,-0.217975235,6.802001708,-0.178836651
2022-09-26,-0.012052538902715508,-0.024882997652153065,-0.011039952302932943,-0.00957226364841675,-0.0015290499610941526,-0.011979808372143375,-0.0065716390444115445,-0.0035093402618718546,-0.008631639869507424,-0.008104840067604277,-0.005094651705773018,-0.184039065,6.718636794,-0.145066491
2022-10-03,-0.003978667137138502,-0.02065597484162327,-0.011035021837572618,-0.004527003898343131,0.0016734362621523501,-0.008724376802939806,-0.00416734471661328,-0.0019008523338930785,-0.006685377757017584,-0.0052075936762015175,-0.0010059521915897131,-0.150318209,5.716200022,-0.182411338
2022-10-10,0.008537795962837437,0.005114883442244387,0.0027242369826294363,0.010629002405362895,0.01366745811643803,0.0067167547306389505,0.0029336884859161015,0.003969367297041395,0.008576874294245194,0.002762266294713449,0.006007753800405892,-0.117613918,5.331722991,-0.159216372
2022-10-17,0.004554215337821465,0.0042673620201991586,0.004995842511364869,0.009966546826925512,0.0072260038718499975,0.004601806701543139,0.0028843913481926445,0.004152940797380563,0.007263818242595436,0.008701704651199552,0.005268510540862275,-0.231661422,5.238848041,-0.302120002
2022-10-24,0.008470773943474964,0.004091607109976263,0.0038758479270390436,0.009695506335422804,0.00940536056616983,0.007497223503693043,0.0025615525029315652,0.003973481688183026,0.009031977731799434,0.008721175115595597,0.0050992188793591835,-0.207925488,6.254659818,-0.356875658
2022-10-31,-0.0025098681166833615,-0.001405482922769966,-0.0014624438882351741,-0.006428061485353876,-0.0010901491347979,-0.002284633711337056,-0.0007853821406070476,0.0005717946855151458,0.0005295057412299873,-0.0003195368737405974,-0.002281353927400803,-0.300883032,4.390539593,-0.413430961
2022-11-07,-0.011915456778563593,-0.006361853759381612,-0.003801579215399058,-0.01871270817084217,-0.0061372847740318506,-0.005023542222042514,-0.005827550827383382,-0.0025633985183575988,-0.004131643103330055,-0.007956952587052042,-0.002496717706562689,-0.318968655,4.612594674,-0.541729963
2022-11-14,-0.019222605155614723,-0.0047127167779147305,-0.0030568889282796673,-0.010253668274260335,-0.012539646943361982,-0.006686041893001756,-0.007454073355190863,-0.002290307958895923,-0.0062179211920086455,-0.0032297025396287866,-0.002932140420860179,-0.364293872,6.57672097,-0.59250245
2022-11-21,-0.012512998773177244,-0.007392954886228912,-0.0026925497141971244,-0.01805272083851938,-0.00908841210331957,-0.0050454799477382736,-0.006142578094968882,-0.00251972441779408,-0.004737413964453434,-0.004650125709730763,-0.0076449207115068,-0.332772473,3.886182896,-0.754663101
